from_date,fin_network,division,branch_col,service_level,tarsrt,country,city,city2,from_postcode,thru_postcode,till_date,zone_code,remark,lookup,branch,zone
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jan de Boers,,,,2098-01-01 00:00:00,X5CPT,,Jan de Boers,CPT,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jane Furse,,,,2098-01-01 00:00:00,X4POL,,Jane Furse,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jansenville,,,,2098-01-01 00:00:00,X5PLZ,,Jansenville,PLZ,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jebe,,,,2098-01-01 00:00:00,X4UTT,,Jebe,UTT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jellimans Kloof,,,,2098-01-01 00:00:00,X5ELS,,Jellimans Kloof,ELS,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jems,,,,2098-01-01 00:00:00,X4ELS,,Jems,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jengce,,,,2098-01-01 00:00:00,X9BFN,,Jengce,BFN,9
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jensi,,,,2098-01-01 00:00:00,X4ELS,,Jensi,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jeppe's Reef,,,,2098-01-01 00:00:00,X4NLP,,Jeppe's Reef,NLP,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jericho,,,,2098-01-01 00:00:00,X4ZAY,,Jericho,ZAY,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jerico,,,,2098-01-01 00:00:00,X3ZCK,,Jerico,ZCK,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jerome,,,,2098-01-01 00:00:00,X5POL,,Jerome,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jimmy Jones,,,,2098-01-01 00:00:00,X5POL,,Jimmy Jones,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jixini,,,,2098-01-01 00:00:00,X2UTT,,Jixini,UTT,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jobskop,,,,2098-01-01 00:00:00,X4POL,,Jobskop,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jogilizwe,,,,2098-01-01 00:00:00,X4ZCK,,Jogilizwe,ZCK,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Johannesburg,Eikenhof,,,2098-01-01 00:00:00,X1ZAY,,JohannesburgEikenhof,ZAY,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Johannesburg,Klipriviersberg Nature Reserve,,,2098-01-01 00:00:00,X1ZAY,,JohannesburgKlipriviersberg Nature Reserve,ZAY,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Johannesburg,Vereeniging NU,,,2098-01-01 00:00:00,X1ZAY,,JohannesburgVereeniging NU,ZAY,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Johnson's Post,,,,2098-01-01 00:00:00,X3GRJ,,Johnson's Post,GRJ,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jojozi,,,,2098-01-01 00:00:00,X4ELS,,Jojozi,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jojweni,,,,2098-01-01 00:00:00,X1UTT,,Jojweni,UTT,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jokong,,,,2098-01-01 00:00:00,X5POL,,Jokong,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jomlo,,,,2098-01-01 00:00:00,X4ELS,,Jomlo,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jongensklip,,,,2098-01-01 00:00:00,X4CPT,,Jongensklip,CPT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Josling,,,,2098-01-01 00:00:00,X2UTN,,Josling,UTN,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jovelen,,,,2098-01-01 00:00:00,X6BFN,,Jovelen,BFN,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jovu,,,,2098-01-01 00:00:00,X2UTT,,Jovu,UTT,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jozana's Hoek,,,,2098-01-01 00:00:00,X6BFN,,Jozana's Hoek,BFN,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jozana's Nek,,,,2098-01-01 00:00:00,X6BFN,,Jozana's Nek,BFN,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jozini,,,,2098-01-01 00:00:00,X5EMG,,Jozini,EMG,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Judea,,,,2098-01-01 00:00:00,X2EMG,,Judea,EMG,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Juju,,,,2098-01-01 00:00:00,X8BFN,,Juju,BFN,8
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jujura,,,,2098-01-01 00:00:00,X4UTT,,Jujura,UTT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Julesburg,,,,2098-01-01 00:00:00,X4POL,,Julesburg,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Julukuqu,,,,2098-01-01 00:00:00,X3UTT,,Julukuqu,UTT,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jupiter,,,,2098-01-01 00:00:00,X2POL,,Jupiter,POL,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Jwayi,,,,2098-01-01 00:00:00,X4UTT,,Jwayi,UTT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka Zinja,,,,2098-01-01 00:00:00,X2UTT,,Ka Zinja,UTT,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kaalfontein,,,,2098-01-01 00:00:00,X6UTT,,Kaalfontein,UTT,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kaalpan,,,,2098-01-01 00:00:00,X4KXE,,Kaalpan,KXE,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kaalrug,,,,2098-01-01 00:00:00,X3NLP,,Kaalrug,NLP,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kaalvlakte,,,,2098-01-01 00:00:00,X1NCS,,Kaalvlakte,NCS,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kaapmuiden,,,,2098-01-01 00:00:00,X2NLP,,Kaapmuiden,NLP,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kaapsehoop,,,,2098-01-01 00:00:00,X2NLP,,Kaapsehoop,NLP,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kabakazi,,,,2098-01-01 00:00:00,X5ELS,,Kabakazi,ELS,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kabeana,,,,2098-01-01 00:00:00,X4POL,,Kabeana,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kabeni,,,,2098-01-01 00:00:00,X5UTT,,Kabeni,UTT,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Bungeni,,,,2098-01-01 00:00:00,X4POL,,Ka-Bungeni,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Chavani,,,,2098-01-01 00:00:00,X4POL,,Ka-Chavani,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Dinga,,,,2098-01-01 00:00:00,X5POL,,Ka-Dinga,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kaditshwene,,,,2098-01-01 00:00:00,X4POL,,Kaditshwene,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kadouw,,,,2098-01-01 00:00:00,X2PLZ,,Kadouw,PLZ,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Dumazi,,,,2098-01-01 00:00:00,X5POL,,Ka-Dumazi,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Dzingidzingi,,,,2098-01-01 00:00:00,X5POL,,Ka-Dzingidzingi,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Dzumeri,,,,2098-01-01 00:00:00,X5POL,,Ka-Dzumeri,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kaffersleg,,,,2098-01-01 00:00:00,X9BFN,,Kaffersleg,BFN,9
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Gaula,,,,2098-01-01 00:00:00,X5POL,,Ka-Gaula,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Gidya,,,,2098-01-01 00:00:00,X5POL,,Ka-Gidya,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Govu,,,,2098-01-01 00:00:00,X6POL,,Ka-Govu,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Guwela,,,,2098-01-01 00:00:00,X5POL,,Ka-Guwela,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Hasane,,,,2098-01-01 00:00:00,X5POL,,Ka-Hasane,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Homu,,,,2098-01-01 00:00:00,X5POL,,Ka-Homu,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Jilongo,,,,2098-01-01 00:00:00,X6POL,,Ka-Jilongo,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Khaxani,,,,2098-01-01 00:00:00,X5POL,,Ka-Khaxani,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Kheyi,,,,2098-01-01 00:00:00,X6POL,,Ka-Kheyi,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kakoje,,,,2098-01-01 00:00:00,X7KIM,,Kakoje,KIM,7
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kalana,,,,2098-01-01 00:00:00,X6PLZ,,Kalana,PLZ,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kaleni,,,,2098-01-01 00:00:00,X3ZCK,,Kaleni,ZCK,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kalinyanga,,,,2098-01-01 00:00:00,X3UTT,,Kalinyanga,UTT,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kalkbank,,,,2098-01-01 00:00:00,X2POL,,Kalkbank,POL,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kalkfontein,,,,2098-01-01 00:00:00,X5NLP,,Kalkfontein,NLP,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kalkspruit,,,,2098-01-01 00:00:00,X2POL,,Kalkspruit,POL,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kalkwerf,,,,2098-01-01 00:00:00,X3UTN,,Kalkwerf,UTN,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mabayeni,,,,2098-01-01 00:00:00,X5POL,,Ka-Mabayeni,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Madobi,,,,2098-01-01 00:00:00,X5POL,,Ka-Madobi,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Madonsi,,,,2098-01-01 00:00:00,X5POL,,Ka-Madonsi,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,KaMagwashu,,,,2098-01-01 00:00:00,X3ZCK,,KaMagwashu,ZCK,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mahonisi,,,,2098-01-01 00:00:00,X5POL,,Ka-Mahonisi,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Makoxa,,,,2098-01-01 00:00:00,X5POL,,Ka-Makoxa,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mapapila,,,,2098-01-01 00:00:00,X5POL,,Ka-Mapapila,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mapayeni,,,,2098-01-01 00:00:00,X5POL,,Ka-Mapayeni,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mapuva,,,,2098-01-01 00:00:00,X5POL,,Ka-Mapuva,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kamassies,,,,2098-01-01 00:00:00,X8UTN,,Kamassies,UTN,8
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kamastone,,,,2098-01-01 00:00:00,X6ELS,,Kamastone,ELS,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Maswanganyi,,,,2098-01-01 00:00:00,X5POL,,Ka-Maswanganyi,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Matiami,,,,2098-01-01 00:00:00,X6POL,,Ka-Matiami,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Matsakali,,,,2098-01-01 00:00:00,X5POL,,Ka-Matsakali,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Matsotsosela,,,,2098-01-01 00:00:00,X5POL,,Ka-Matsotsosela,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mavalani,,,,2098-01-01 00:00:00,X5POL,,Ka-Mavalani,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Maveke,,,,2098-01-01 00:00:00,X5POL,,Ka-Maveke,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mavele,,,,2098-01-01 00:00:00,X4POL,,Ka-Mavele,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mavundani,,,,2098-01-01 00:00:00,X6POL,,Ka-Mavundani,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mayephu,,,,2098-01-01 00:00:00,X5POL,,Ka-Mayephu,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mayomela,,,,2098-01-01 00:00:00,X4POL,,Ka-Mayomela,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mbatlo,,,,2098-01-01 00:00:00,X5POL,,Ka-Mbatlo,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mbedlhe,,,,2098-01-01 00:00:00,X5POL,,Ka-Mbedlhe,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mbokota,,,,2098-01-01 00:00:00,X4POL,,Ka-Mbokota,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mchipise,,,,2098-01-01 00:00:00,X5POL,,Ka-Mchipise,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kamden,,,,2098-01-01 00:00:00,X6KIM,,Kamden,KIM,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kameelbult,,,,2098-01-01 00:00:00,X5KXE,,Kameelbult,KXE,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kameelkop,,,,2098-01-01 00:00:00,X3POL,,Kameelkop,POL,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kameelkraal,,,,2098-01-01 00:00:00,X2ZAY,,Kameelkraal,ZAY,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kameelpoort,,,,2098-01-01 00:00:00,X4WIT,,Kameelpoort,WIT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kameelpoortnek,,,,2098-01-01 00:00:00,X4ZAY,,Kameelpoortnek,ZAY,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kameelputs,,,,2098-01-01 00:00:00,X4KIM,,Kameelputs,KIM,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kameelrivier,,,,2098-01-01 00:00:00,X4WIT,,Kameelrivier,WIT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kameelrivier A,,,,2098-01-01 00:00:00,X4WIT,,Kameelrivier A,WIT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kamhlushwa,,,,2098-01-01 00:00:00,X4NLP,,Kamhlushwa,NLP,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kamieskroon,,,,2098-01-01 00:00:00,X8VDB,,Kamieskroon,VDB,8
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mininginisi,,,,2098-01-01 00:00:00,X5POL,,Ka-Mininginisi,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kammiebos,,,,2098-01-01 00:00:00,X5PLZ,,Kammiebos,PLZ,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mpakani,,,,2098-01-01 00:00:00,X5POL,,Ka-Mpakani,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kampersrus,,,,2098-01-01 00:00:00,X5NLP,,Kampersrus,NLP,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mphambo,,,,2098-01-01 00:00:00,X5POL,,Ka-Mphambo,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Muhlaba,,,,2098-01-01 00:00:00,X4POL,,Ka-Muhlaba,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mulamula,,,,2098-01-01 00:00:00,X5POL,,Ka-Mulamula,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Munghonghoma,,,,2098-01-01 00:00:00,X5POL,,Ka-Munghonghoma,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mushiyani,,,,2098-01-01 00:00:00,X5POL,,Ka-Mushiyani,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Muswane,,,,2098-01-01 00:00:00,X5POL,,Ka-Muswane,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Mzilela,,,,2098-01-01 00:00:00,X5POL,,Ka-Mzilela,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kana,,,,2098-01-01 00:00:00,X1RSB,,Kana,RSB,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kanana,,,,2098-01-01 00:00:00,X3POL,,Kanana,POL,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kandaspunt,,,,2098-01-01 00:00:00,X4NCS,,Kandaspunt,NCS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Ndengeza,,,,2098-01-01 00:00:00,X4POL,,Ka-Ndengeza,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kanegha Drift,,,,2098-01-01 00:00:00,X6ZCK,,Kanegha Drift,ZCK,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nghalalume,,,,2098-01-01 00:00:00,X5POL,,Ka-Nghalalume,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nghezimani,,,,2098-01-01 00:00:00,X6POL,,Ka-Nghezimani,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kangkuru,,,,2098-01-01 00:00:00,X6KIM,,Kangkuru,KIM,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Ngolombe,,,,2098-01-01 00:00:00,X4POL,,Ka-Ngolombe,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Ngove,,,,2098-01-01 00:00:00,X5POL,,Ka-Ngove,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nhlaneki,,,,2098-01-01 00:00:00,X4POL,,Ka-Nhlaneki,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nkomo,,,,2098-01-01 00:00:00,X5POL,,Ka-Nkomo,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nkuri,,,,2098-01-01 00:00:00,X5POL,,Ka-Nkuri,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nkuzani,,,,2098-01-01 00:00:00,X4POL,,Ka-Nkuzani,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kanoneiland,,,,2098-01-01 00:00:00,X2UTN,,Kanoneiland,UTN,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nwadzekudzeku,,,,2098-01-01 00:00:00,X5POL,,Ka-Nwadzekudzeku,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nwamakena,,,,2098-01-01 00:00:00,X4POL,,Ka-Nwamakena,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nwamatatani,,,,2098-01-01 00:00:00,X4POL,,Ka-Nwamatatani,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nwamngololo,,,,2098-01-01 00:00:00,X4POL,,Ka-Nwamngololo,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nwaxinyamana,,,,2098-01-01 00:00:00,X4POL,,Ka-Nwaxinyamana,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Nyavhani,,,,2098-01-01 00:00:00,X6POL,,Ka-Nyavhani,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kanyayo,,,,2098-01-01 00:00:00,X4ZCK,,Kanyayo,ZCK,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Phaphazela,,,,2098-01-01 00:00:00,X5POL,,Ka-Phaphazela,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kaplan,,,,2098-01-01 00:00:00,X1UTT,,Kaplan,UTT,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Karabee,,,,2098-01-01 00:00:00,X7UTN,,Karabee,UTN,7
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Karee,,,,2098-01-01 00:00:00,X2BFN,,Karee,BFN,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Karee mine,,,,2098-01-01 00:00:00,X1RSB,,Karee mine,RSB,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Rhangani,,,,2098-01-01 00:00:00,X5POL,,Ka-Rhangani,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Karkams,,,,2098-01-01 00:00:00,X8VDB,,Karkams,VDB,8
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Karos,,,,2098-01-01 00:00:00,X2UTN,,Karos,UTN,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Karreeboschkolk,,,,2098-01-01 00:00:00,X6UTN,,Karreeboschkolk,UTN,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Karringmelkspruit,,,,2098-01-01 00:00:00,X7BFN,,Karringmelkspruit,BFN,7
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kasa,,,,2098-01-01 00:00:00,X3UTT,,Kasa,UTT,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Sabulane,,,,2098-01-01 00:00:00,X5POL,,Ka-Sabulane,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Siandana,,,,2098-01-01 00:00:00,X5POL,,Ka-Siandana,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kasibhejane,,,,2098-01-01 00:00:00,X4NLP,,Kasibhejane,NLP,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kasibokwane,,,,2098-01-01 00:00:00,X4NLP,,Kasibokwane,NLP,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Sikhunyane,,,,2098-01-01 00:00:00,X5POL,,Ka-Sikhunyane,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kasuka Road,,,,2098-01-01 00:00:00,X4PLZ,,Kasuka Road,PLZ,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Sunduza,,,,2098-01-01 00:00:00,X6POL,,Ka-Sunduza,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Katana,,,,2098-01-01 00:00:00,X5ELS,,Katana,ELS,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Katberg,,,,2098-01-01 00:00:00,X5ELS,,Katberg,ELS,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kathazweni,,,,2098-01-01 00:00:00,X4WIT,,Kathazweni,WIT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Katikati,,,,2098-01-01 00:00:00,X4ELS,,Katikati,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Katjibane,,,,2098-01-01 00:00:00,X4ZAY,,Katjibane,ZAY,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Katkop,,,,2098-01-01 00:00:00,X9BFN,,Katkop,BFN,9
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Tomu,,,,2098-01-01 00:00:00,X5POL,,Ka-Tomu,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Tsakani,,,,2098-01-01 00:00:00,X4NLP,,Ka-Tsakani,NLP,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Katyekana,,,,2098-01-01 00:00:00,X4ELS,,Katyekana,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Kauletsi,,,,2098-01-01 00:00:00,X6POL,,Kauletsi,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Vhele,,,,2098-01-01 00:00:00,X6POL,,Ka-Vhele,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Xigamani,,,,2098-01-01 00:00:00,X5POL,,Ka-Xigamani,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Xihoko,,,,2098-01-01 00:00:00,X4POL,,Ka-Xihoko,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Xihosana,,,,2098-01-01 00:00:00,X5POL,,Ka-Xihosana,POL,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ka-Xikukwani,,,,2098-01-01 00:00:00,X5POL,,Ka-Xikukwani,POL,5
